,bitcoin_price,ethereum_price,dogecoin_price,date,bitcoin_volume,ethereum_volume,dogecoin_volume
479,63131.925019985334,4663.634946708056,0.34313426921037876,2021-09-10,52359288544.9437,35012824355.64346,2076389276.2134547
480,60906.23123477845,4363.671744314787,0.326508181393473,2021-09-11,51729203953.54123,32777943867.894417,2124061188.3031075
481,61441.68804160236,4442.775181651829,0.32789682885846716,2021-09-12,46438677151.044395,26838422139.180885,1368555289.052385
482,62713.242508656906,4639.9561891417925,0.3412101965565621,2021-09-13,37449729225.59478,24639680687.82225,1732723575.347755
483,61268.52234493072,4480.717318123517,0.32179119586073507,2021-09-14,55219277357.34772,35151394935.94154,2166569659.5825105
484,64415.61131324767,4680.170311605856,0.3293942162826789,2021-09-15,52813314633.52159,28804191323.3507,1191781352.0008595
485,65636.17730475846,4898.157709533185,0.33689513046072456,2021-09-16,40915321080.18955,25860727317.467823,1223787400.9614499
486,65663.10686234363,4900.523260164569,0.3326814447879881,2021-09-17,43307932989.74209,30708231299.299397,1463987711.7001772
487,64999.52712922908,4696.087327383028,0.33159638845458683,2021-09-18,38165714450.481926,26203704654.735695,2734288035.048392
488,66428.05564135074,4717.291674371061,0.33291337095305584,2021-09-19,38027078313.16144,22403183275.95193,1255475928.206546
489,65211.020115972584,4592.636151004789,0.3228143464338984,2021-09-20,36016242362.774445,19962829265.553696,1129784193.3139122
490,59143.56857165446,4101.50017660585,0.28609901009728095,2021-09-21,56783882664.25814,39230274313.63073,2645290110.9260917
491,55882.971124149815,3797.026390049248,0.2762088343127544,2021-09-22,63567758552.20515,44365484142.16068,2154197430.4039717
492,60255.97965125851,4249.733862700737,0.3105937622145136,2021-09-23,50630184766.18134,37442109958.294876,2424337482.549649
493,61623.155840817744,4328.212352926489,0.3089825166555256,2021-09-24,46024304332.2398,26765157170.171776,1361036924.0115325
494,58875.29333061646,4036.0137028155436,0.287986289689668,2021-09-25,59179504360.973946,39254667617.36503,2273424723.430277
495,59019.460952308415,4058.361961345045,0.2897035356845774,2021-09-26,42550723396.06361,31031805393.732155,1296405465.1893892
496,59660.816775135645,4217.194092174771,0.28324968533360373,2021-09-27,41937427273.88716,34302248055.790916,1472174258.0114586
497,58021.673411102725,4037.383256425716,0.2751027302593981,2021-09-28,41864940910.25543,28690358248.00744,1039579313.2082435
498,56628.72547853577,3864.9468437450228,0.2714988617872445,2021-09-29,40999794569.34737,26202009591.470863,1064008043.5680645
499,57943.43222988872,3977.5358896626967,0.2780182059615174,2021-09-30,41894225112.61711,24406869967.289154,1105463379.393069
500,60671.000593414,4169.7946931086435,0.2831993982678879,2021-10-01,42688802771.46885,26844521655.055367,1069562199.147984
501,66337.86725339381,4550.544087014625,0.3066255619155276,2021-10-02,57949588742.16325,33550544031.931828,1725306327.8924613
